locality_name,region_name,price,value_per_sqft,area,construction_status,house_type,total_rooms,total_beds,new_resale,age
Thane West, Mumbai,18500000.0,9798,1888,Ready to move,Apartment,5,3,old,5.5
Thane West, Mumbai,32500000.0,15505,2096,Ready to move,Apartment,5,3,old,1.5
Thane West, Mumbai,31500000.0,16153,1950,Ready to move,Apartment,6,4,old,1.5
Kathora Road, Amravati,3800000.0,3800,1000,Ready to move,Apartment,4,2,old,1.5
Gotal Pajri, Nagpur,2795000.0,2600,1075,Under Construction,Apartment,5,3,New,0.0
Kalyan East, Mumbai,3929999.9999999995,5909,665,Under Construction,Apartment,3,1,New,1.0
Kalyan East, Mumbai,3770000.0000000005,5937,635,Under Construction,Apartment,3,1,New,1.0
Badlapur West, Mumbai,2121000.0,2925,725,Under Construction,Apartment,4,2,New,1.0
Badlapur West, Mumbai,1789999.9999999998,2818,635,Under Construction,Apartment,4,2,New,1.0
Badlapur West, Mumbai,1600000.0,2963,540,Under Construction,Apartment,3,1,New,-3.0
Badlapur West, Mumbai,1480000.0,2989,495,Under Construction,Apartment,3,1,New,1.0
Badlapur West, Mumbai,1420000.0,2989,475,Under Construction,Apartment,3,1,New,1.0
Wathoda, Nagpur,4078000.0,3250,1255,Ready to move,Apartment,5,3,old,2.5
Thane West, Mumbai,20000000.0,12121,1650,Ready to move,Apartment,5,3,old,5.5
Badlapur East, Mumbai,3500000.0,3932,890,Ready to move,Apartment,4,2,old,2.5
Bandra East, Mumbai,75000000.0,38699,1938,Ready to move,Apartment,5,3,old,6.5
Bandra East, Mumbai,75000000.0,38699,1938,Ready to move,Apartment,5,3,old,6.5
Juhu Scheme, Mumbai,47500000.0,36538,1300,Ready to move,Apartment,5,3,old,11.5
Santacruz West, Mumbai,92500000.0,52857,1750,Ready to move,Apartment,6,4,old,6.5
Dadar West, Mumbai,13500000.0,27000,500,Ready to move,Apartment,3,1,old,6.5
Ambernath East, Mumbai,2450000.0,3576,685,Under Construction,Apartment,3,1,New,1.0
Titwala East, Mumbai,2840000.0,4057,700,Ready to move,Apartment,3,1,old,1.5
Thane West, Mumbai,8100000.0,13728,590,Under Construction,Apartment,3,1,New,-1.0
Badlapur East, Mumbai,1847000.0,3240,570,Ready to move,Apartment,3,1,old,1.5
Badlapur West, Mumbai,1311000.0,2946,445,Under Construction,Apartment,3,1,New,1.0
Ville Parle West, Mumbai,41500000.0,23714,1750,Ready to move,Apartment,5,3,old,6.5
Thane West, Mumbai,31000000.0,13191,2350,Ready to move,Apartment,6,4,old,1.5
vasant vihar thane west, Mumbai,16500000.0,10000,1650,Under Construction,Apartment,5,3,New,1.0
Thane West, Mumbai,11500000.0,10798,1065,Ready to move,Apartment,4,2,old,6.5
Thane West, Mumbai,32500000.0,18571,1750,Ready to move,Apartment,5,3,old,13.5
Mahim West, Mumbai,4600000.0,13142,350,Ready to move,Apartment,3,1,old,7.5
Thane West, Mumbai,26000000.0,10196,2550,Ready to move,Apartment,6,4,old,6.5
Thane West, Mumbai,19000000.0,11515,1650,Ready to move,Apartment,5,3,old,6.5
Thane West, Mumbai,32500000.0,18571,1750,Ready to move,Apartment,6,4,old,6.5
Thane West, Mumbai,45000000.0,17448,2579,Ready to move,Apartment,6,4,old,2.5
Thane West, Mumbai,52500000.0,19811,2650,Ready to move,Apartment,6,4,old,11.5
Thane West, Mumbai,26000000.0,11818,2200,Ready to move,Apartment,6,4,old,6.5
Thane West, Mumbai,14000000.0,12173,1150,Ready to move,Apartment,4,2,old,6.5
Thane West, Mumbai,45000000.0,17448,2579,Ready to move,Apartment,6,4,old,2.5
Thane West, Mumbai,32500000.0,18571,1750,Ready to move,Apartment,5,3,old,11.5
Worli, Mumbai,76000000.0,45618,1666,Ready to move,Apartment,5,3,old,1.5
Thane West, Mumbai,52500000.0,19811,2650,Ready to move,Apartment,6,4,old,11.5
Thane West, Mumbai,26000000.0,11818,2200,Ready to move,Apartment,6,4,old,6.5
Thane West, Mumbai,25000000.0,17857,1400,Ready to move,Apartment,5,3,old,11.5
Prabhadevi, Mumbai,97000000.0,52432,1850,Ready to move,Apartment,5,3,old,16.5
Parel, Mumbai,101100000.0,45954,2200,Ready to move,Apartment,6,4,old,3.5
Lower Parel, Mumbai,120000000.0,38461,3120,Ready to move,Apartment,5,3,old,4.5
Badlapur East, Mumbai,3482000.0,3979,875,Ready to move,Apartment,4,2,old,2.5
Badlapur East, Mumbai,2029000.0,3864,525,Ready to move,Apartment,3,1,old,1.5
Titwala, Mumbai,3784000.0000000005,4038,937,Under Construction,Apartment,4,2,New,1.0
Titwala, Mumbai,1560000.0,3000,520,Ready to move,Apartment,3,1,old,1.5
Thane West, Mumbai,14900000.0,14136,1054,Under Construction,Apartment,4,2,New,1.0
Ghansoli, Mumbai,1480000.0,2560,578,Under Construction,Apartment,4,2,New,1.0
Sanpada, Mumbai,15800000.0,16288,970,Under Construction,Apartment,4,2,New,1.0
Thane West, Mumbai,14000000.0,11666,1200,Ready to move,Apartment,4,2,old,5.5
Kharghar, Mumbai,10500000.0,10510,999,Under Construction,Apartment,4,2,New,-1.0
Kharghar, Mumbai,17500000.0,14170,1235,Under Construction,Apartment,5,3,New,-3.0
Dombivali, Mumbai,10500000.0,6986,1503,Ready to move,Apartment,4,2,old,6.5
Thane West, Mumbai,32500000.0,14444,2250,Ready to move,Apartment,5,3,old,1.5
Neral, Mumbai,1900000.0,4000,475,Ready to move,Apartment,3,1,old,2.5
Neral, Mumbai,2200000.0,4400,500,Ready to move,Apartment,3,1,old,1.5
Titwala, Mumbai,2840000.0,4057,700,Ready to move,Apartment,3,1,old,1.5
Titwala, Mumbai,4500000.0,4751,947,Under Construction,Apartment,4,2,New,2.0
Titwala, Mumbai,3790000.0,4044,937,Ready to move,Apartment,4,2,old,2.5
Thane West, Mumbai,8300000.0,20343,408,Ready to move,Apartment,3,1,old,2.5
Titwala, Mumbai,2680000.0,4322,620,Under Construction,Apartment,3,1,New,2.0
Bandra East, Mumbai,177500000.0,52921,3354,Ready to move,Apartment,6,4,old,6.5
Bandra West, Mumbai,177500000.0,59166,3000,Ready to move,Apartment,5,3,old,11.5
Titwala East, Mumbai,2840000.0,4057,700,Under Construction,Apartment,3,1,New,1.0
Titwala East, Mumbai,2840000.0,4057,700,Under Construction,Apartment,3,1,New,1.0
Thane West, Mumbai,31000000.0,13191,2350,Ready to move,Apartment,6,4,old,5.5
Thane West, Mumbai,19000000.0,11585,1640,Ready to move,Apartment,5,3,old,1.5
Thane West, Mumbai,17500000.0,14000,1250,Ready to move,Apartment,4,2,old,5.5
Thane West, Mumbai,32500000.0,18571,1750,Ready to move,Apartment,5,3,old,5.5
Thane West, Mumbai,27500000.0,12500,2200,Ready to move,Apartment,6,4,old,5.5
Badlapur West, Mumbai,2370000.0,4121,575,Under Construction,Apartment,3,1,New,2.0
Goregaon East, Mumbai,30000000.0,19230,1560,Ready to move,Apartment,5,3,old,5.5
Santacruz East, Mumbai,47000000.0,29467,1595,Ready to move,Apartment,5,3,old,10.5
vakola santacuz e, Mumbai,25000000.0,35714,700,Ready to move,Apartment,4,2,old,1.5
Santacruz East, Mumbai,24500000.0,30934,792,Ready to move,Apartment,4,2,old,10.5
Santacruz East, Mumbai,24000000.0,26666,900,Ready to move,Apartment,4,2,old,13.5
Kalyan East, Mumbai,5090000.0,5784,880,Ready to move,Apartment,4,2,old,2.5
Kalyan East, Mumbai,3770000.0000000005,5937,635,Under Construction,Apartment,3,1,New,1.0
Dombivali East, Mumbai,2235000.0,4138,540,Ready to move,Apartment,3,1,old,2.5
Dombivali East, Mumbai,2375000.0,4130,575,Ready to move,Apartment,3,1,old,1.5
Ambernath West, Mumbai,2450000.0,3550,690,Under Construction,Apartment,3,1,New,1.0
Titwala East, Mumbai,3784000.0000000005,4038,937,Under Construction,Apartment,4,2,New,1.0
Ambernath East, Mumbai,3670000.0000000005,3859,951,Under Construction,Apartment,3,1,New,2.0
Badlapur West, Mumbai,1333000.0,2982,447,Under Construction,Apartment,3,1,New,1.0
Ambernath West, Mumbai,2450000.0,3550,690,Under Construction,Apartment,3,1,New,1.0
Ambernath East, Mumbai,2900000.0,4142,700,Under Construction,Apartment,3,1,New,2.0
Santacruz East, Mumbai,32000000.0,24502,1306,Ready to move,Apartment,5,3,old,7.5
Santacruz East, Mumbai,30000000.0,27272,1100,Ready to move,Apartment,4,2,old,7.5
Santacruz East, Mumbai,32500000.0,19696,1650,Ready to move,Apartment,5,3,old,4.5
vakola santacuz e, Mumbai,24000000.0,24000,1000,Ready to move,Apartment,4,2,old,2.5
Badlapur East, Mumbai,3461000.0,3867,895,Ready to move,Apartment,4,2,old,2.5
Badlapur East, Mumbai,2625000.0,3888,675,Ready to move,Apartment,3,1,old,1.5
Thane West, Mumbai,32500000.0,15116,2150,Ready to move,Apartment,5,3,old,1.5
Thane West, Mumbai,48500000.0,16385,2960,Ready to move,Apartment,7,5,old,10.5
Santacruz East, Mumbai,28000000.0,27722,1010,Ready to move,Apartment,5,3,old,2.5
Kalyan East, Mumbai,4200000.0,7106,591,Under Construction,Apartment,3,1,New,-1.0
Wathoda, Nagpur,4078000.0,3250,1255,Ready to move,Apartment,5,3,old,1.5
Thane West, Mumbai,20000000.0,12285,1628,Ready to move,Apartment,5,3,old,5.5
Thane West, Mumbai,34000000.0,14554,2336,Ready to move,Apartment,6,4,old,1.5
Thane West, Mumbai,20000000.0,12121,1650,Ready to move,Apartment,5,3,old,10.5
Thane West, Mumbai,26000000.0,11818,2200,Ready to move,Apartment,6,4,old,6.5
Thane West, Mumbai,52500000.0,19811,2650,Ready to move,Apartment,6,4,old,11.5
Thane West, Mumbai,17500000.0,14000,1250,Ready to move,Apartment,4,2,old,5.5
Thane West, Mumbai,20000000.0,12285,1628,Ready to move,Apartment,5,3,old,5.5
Thane West, Mumbai,17500000.0,14000,1250,Ready to move,Apartment,4,2,old,5.5
Badlapur East, Mumbai,2200000.0,3728,590,Ready to move,Apartment,3,1,old,1.5
Thane West, Mumbai,20000000.0,12121,1650,Ready to move,Apartment,5,3,old,9.5
Thane West, Mumbai,6300000.0,11454,550,Under Construction,Apartment,3,1,New,1.0
Thane West, Mumbai,9400000.0,11463,820,Under Construction,Apartment,4,2,New,1.0
Thane West, Mumbai,7900000.0,11969,660,Under Construction,Apartment,4,2,New,1.0
Thane West, Mumbai,6300000.0,12115,520,Under Construction,Apartment,3,1,New,1.0
Thane West, Mumbai,5800000.0,12210,475,Under Construction,Apartment,3,1,New,1.0
vasant vihar thane west, Mumbai,16500000.0,10000,1650,Under Construction,Apartment,5,3,New,1.0
Thane West, Mumbai,45000000.0,17448,2579,Ready to move,Apartment,6,4,old,2.5
Thane West, Mumbai,11500000.0,10798,1065,Ready to move,Apartment,4,2,old,6.5
Thane West, Mumbai,32500000.0,18571,1750,Ready to move,Apartment,5,3,old,11.5
Thane West, Mumbai,52500000.0,19811,2650,Ready to move,Apartment,6,4,old,11.5
Titwala, Mumbai,2626000.0,4235,620,Under Construction,Apartment,3,1,New,1.0
Titwala, Mumbai,3615999.9999999995,4254,850,Under Construction,Apartment,4,2,New,-1.0
Titwala, Mumbai,1560000.0,3000,520,Ready to move,Apartment,3,1,old,1.5
Titwala East, Mumbai,2840000.0,4057,700,Ready to move,Apartment,3,1,old,1.5
Thane West, Mumbai,8100000.0,13728,590,Under Construction,Apartment,3,1,New,-1.0
Badlapur East, Mumbai,1847000.0,3240,570,Ready to move,Apartment,3,1,old,1.5
Badlapur West, Mumbai,1311000.0,2946,445,Under Construction,Apartment,3,1,New,1.0
Ville Parle West, Mumbai,41500000.0,23714,1750,Ready to move,Apartment,5,3,old,6.5
Thane West, Mumbai,27500000.0,12500,2200,Ready to move,Apartment,6,4,old,5.5
Thane West, Mumbai,19000000.0,11585,1640,Ready to move,Apartment,5,3,old,1.5
vasant vihar thane west, Mumbai,16500000.0,10000,1650,Under Construction,Apartment,5,3,New,1.0
Thane West, Mumbai,45000000.0,17448,2579,Ready to move,Apartment,6,4,old,2.5
Thane West, Mumbai,11500000.0,10798,1065,Ready to move,Apartment,4,2,old,6.5
Thane West, Mumbai,32500000.0,18571,1750,Ready to move,Apartment,5,3,old,11.5
Thane West, Mumbai,15500000.0,9393,1650,Ready to move,Apartment,5,3,old,6.5
Thane West, Mumbai,32500000.0,18571,1750,Ready to move,Apartment,6,4,old,6.5
Thane West, Mumbai,19000000.0,11515,1650,Ready to move,Apartment,5,3,old,6.5
Thane West, Mumbai,52500000.0,19811,2650,Ready to move,Apartment,6,4,old,11.5
Thane West, Mumbai,26000000.0,11818,2200,Ready to move,Apartment,6,4,old,6.5
Thane West, Mumbai,20000000.0,12121,1650,Ready to move,Apartment,5,3,old,5.5
Thane West, Mumbai,35500000.0,16705,2125,Ready to move,Apartment,5,3,old,1.5
Thane West, Mumbai,20000000.0,12121,1650,Ready to move,Apartment,5,3,old,5.5
Thane West, Mumbai,45000000.0,17448,2579,Ready to move,Apartment,6,4,old,1.5
Thane West, Mumbai,11500000.0,10798,1065,Ready to move,Apartment,4,2,old,5.5
Thane West, Mumbai,19500000.0,10328,1888,Ready to move,Apartment,5,3,old,5.5
Thane West, Mumbai,67500000.0,18750,3600,Ready to move,Apartment,6,4,old,1.5
Thane West, Mumbai,19000000.0,11515,1650,Ready to move,Apartment,5,3,old,6.5
Thane West, Mumbai,57500000.0,15972,3600,Ready to move,Apartment,6,4,old,1.5
Thane West, Mumbai,27500000.0,12500,2200,Ready to move,Apartment,6,4,old,5.5
Thane West, Mumbai,18500000.0,9798,1888,Ready to move,Apartment,5,3,old,5.5
Thane West, Mumbai,32500000.0,15505,2096,Ready to move,Apartment,5,3,old,1.5
Thane West, Mumbai,31500000.0,16153,1950,Ready to move,Apartment,6,4,old,1.5
Kathora Road, Amravati,3800000.0,3800,1000,Ready to move,Apartment,4,2,old,1.5
Ambernath East, Mumbai,2750000.0,4230,650,Ready to move,Apartment,3,1,old,2.5
Wathoda, Nagpur,4078000.0,3250,1255,Ready to move,Apartment,5,3,old,2.5
Thane West, Mumbai,20000000.0,12121,1650,Ready to move,Apartment,5,3,old,5.5
Badlapur East, Mumbai,3500000.0,3932,890,Ready to move,Apartment,4,2,old,2.5
Bandra East, Mumbai,75000000.0,38699,1938,Ready to move,Apartment,5,3,old,6.5
Bandra East, Mumbai,75000000.0,38699,1938,Ready to move,Apartment,5,3,old,6.5
Ram nagar, Nagpur,8500000.0,7391,1150,Under Construction,Apartment,4,2,New,0.0
Thane West, Mumbai,85000000.0,16346,5200,Ready to move,Apartment,7,5,old,5.5
Thane West, Mumbai,53500000.0,20226,2645,Ready to move,Apartment,6,4,old,1.5
Thane West, Mumbai,32500000.0,18571,1750,Ready to move,Apartment,5,3,old,11.5
vasant vihar thane west, Mumbai,16500000.0,10000,1650,Under Construction,Apartment,5,3,New,1.0
Thane West, Mumbai,11500000.0,10798,1065,Ready to move,Apartment,4,2,old,6.5
Thane West, Mumbai,45000000.0,17448,2579,Ready to move,Apartment,6,4,old,2.5
Thane West, Mumbai,13500000.0,12857,1050,Ready to move,Apartment,4,2,old,11.5
Thane West, Mumbai,13500000.0,12857,1050,Ready to move,Apartment,4,2,old,11.5
Thane West, Mumbai,32500000.0,18571,1750,Ready to move,Apartment,5,3,old,11.5
Thane West, Mumbai,45000000.0,17448,2579,Ready to move,Apartment,6,4,old,2.5
Thane West, Mumbai,11500000.0,10798,1065,Ready to move,Apartment,4,2,old,6.5
Thane West, Mumbai,45000000.0,17448,2579,Ready to move,Apartment,6,4,old,2.5
Bandra West, Mumbai,36000000.0,45000,800,Ready to move,Apartment,4,2,old,10.5
Lower Parel, Mumbai,120000000.0,38461,3120,Ready to move,Apartment,5,3,old,4.5
Thane West, Mumbai,14500000.0,13181,1100,Ready to move,Apartment,4,2,old,5.5
Thane West, Mumbai,5700000.0,9827,580,Under Construction,Apartment,3,1,New,1.0
Thane West, Mumbai,6000000.0,9677,620,Under Construction,Apartment,3,1,New,1.0
Badlapur East, Mumbai,3482000.0,3979,875,Ready to move,Apartment,4,2,old,2.5
Titwala, Mumbai,2840000.0,4057,700,Under Construction,Apartment,3,1,New,1.0
Dombivali, Mumbai,5800000.0,6270,925,Ready to move,Apartment,4,2,old,1.5
Thane West, Mumbai,27500000.0,12500,2200,Ready to move,Apartment,6,4,old,5.5
Thane West, Mumbai,17500000.0,10606,1650,Ready to move,Apartment,5,3,old,1.5
Thane West, Mumbai,21000000.0,13375,1570,Ready to move,Apartment,5,3,old,5.5
Thane West, Mumbai,12500000.0,12195,1025,Ready to move,Apartment,4,2,old,5.5
Thane West, Mumbai,14500000.0,13615,1065,Ready to move,Apartment,4,2,old,10.5
Thane West, Mumbai,16000000.0,10443,1532,Ready to move,Apartment,5,3,old,1.5
Thane West, Mumbai,17500000.0,8633,2027,Ready to move,Apartment,5,3,old,1.5
Dhantoli, Nagpur,15000000.0,7500,2000,Ready to move,Apartment,5,3,New,2.5
Shivaji Nagar, Nagpur,17500000.0,8750,2000,Ready to move,Apartment,5,3,old,2.5
Nala Sopara, Mumbai,1750000.0,3365,520,Ready to move,Apartment,3,1,old,1.5
Dhantoli, Nagpur,16000000.0,7511,2130,Ready to move,Apartment,5,3,old,3.5
Mahal, Nagpur,5200000.0,4126,1260,Under Construction,Apartment,5,3,New,1.0
Somalwada, Nagpur,6600000.0,4000,1650,Under Construction,Apartment,5,3,New,0.0
Somalwada, Nagpur,4000000.0,4040,990,Under Construction,Apartment,4,2,New,0.0
Hingna, Nagpur,3200000.0,3945,811,Ready to move,Apartment,4,2,old,6.5
Hindustan Colony, Nagpur,6500000.0,5652,1150,Ready to move,Apartment,4,2,old,2.5
Ram nagar, Nagpur,12000000.0,7741,1550,Under Construction,Apartment,5,3,New,0.0
Ram nagar, Nagpur,8500000.0,7391,1150,Under Construction,Apartment,4,2,New,0.0
Thane West, Mumbai,32500000.0,18571,1750,Ready to move,Apartment,5,3,old,11.5
vasant vihar thane west, Mumbai,16500000.0,10000,1650,Under Construction,Apartment,5,3,New,1.0
Thane West, Mumbai,11500000.0,10798,1065,Ready to move,Apartment,4,2,old,6.5
Thane West, Mumbai,45000000.0,17448,2579,Ready to move,Apartment,6,4,old,2.5
Thane West, Mumbai,13500000.0,12857,1050,Ready to move,Apartment,4,2,old,11.5
Thane West, Mumbai,13500000.0,12857,1050,Ready to move,Apartment,4,2,old,11.5
Thane West, Mumbai,32500000.0,18571,1750,Ready to move,Apartment,5,3,old,11.5
Thane West, Mumbai,45000000.0,17448,2579,Ready to move,Apartment,6,4,old,2.5
Thane West, Mumbai,11500000.0,10798,1065,Ready to move,Apartment,4,2,old,6.5
Thane West, Mumbai,45000000.0,17448,2579,Ready to move,Apartment,6,4,old,2.5
Bandra West, Mumbai,36000000.0,45000,800,Ready to move,Apartment,4,2,old,10.5
Thane West, Mumbai,45000000.0,17448,2579,Ready to move,Apartment,6,4,old,2.5
Thane West, Mumbai,16000000.0,12800,1250,Ready to move,Apartment,5,3,old,6.5
Thane West, Mumbai,52500000.0,19811,2650,Ready to move,Apartment,6,4,old,11.5
Thane West, Mumbai,25000000.0,17857,1400,Ready to move,Apartment,5,3,old,11.5
Thane West, Mumbai,32500000.0,18571,1750,Ready to move,Apartment,5,3,old,11.5
vasant vihar thane west, Mumbai,16500000.0,10000,1650,Under Construction,Apartment,5,3,New,1.0
Thane West, Mumbai,45000000.0,17448,2579,Ready to move,Apartment,6,4,old,2.5
Thane West, Mumbai,52500000.0,19811,2650,Ready to move,Apartment,6,4,old,11.5
Thane West, Mumbai,26000000.0,11818,2200,Ready to move,Apartment,6,4,old,6.5
Thane West, Mumbai,25000000.0,17857,1400,Ready to move,Apartment,5,3,old,11.5
Thane West, Mumbai,11500000.0,10798,1065,Ready to move,Apartment,4,2,old,6.5
Thane West, Mumbai,19000000.0,11515,1650,Ready to move,Apartment,5,3,old,6.5
Thane West, Mumbai,45000000.0,17448,2579,Ready to move,Apartment,6,4,old,1.5
Wathoda, Nagpur,4078000.0,3250,1255,Ready to move,Apartment,5,3,old,2.5
Gotal Pajri, Nagpur,2795000.0,2600,1075,Under Construction,Apartment,5,3,New,0.0
Thane West, Mumbai,57500000.0,16428,3500,Ready to move,Apartment,6,4,old,1.5
Thane West, Mumbai,20000000.0,12121,1650,Ready to move,Apartment,5,3,old,6.0
Thane West, Mumbai,20000000.0,12121,1650,Ready to move,Apartment,5,3,old,6.0
Thane West, Mumbai,20000000.0,12121,1650,Ready to move,Apartment,5,3,old,6.0
Thane West, Mumbai,17500000.0,15909,1100,Ready to move,Apartment,4,2,old,10.5
Thane West, Mumbai,20000000.0,12121,1650,Ready to move,Apartment,5,3,old,10.5
Thane West, Mumbai,20000000.0,12121,1650,Ready to move,Apartment,5,3,old,10.5
Worli, Mumbai,90000000.0,37831,2379,Ready to move,Apartment,6,4,old,2.5
Prabhadevi, Mumbai,70000000.0,40000,1750,Ready to move,Apartment,5,3,old,12.0
Juhu Scheme, Mumbai,90000000.0,50000,1800,Ready to move,Apartment,6,4,old,10.5
Worli, Mumbai,160000000.0,53333,3000,Ready to move,Apartment,6,4,old,18.5
Juhu, Mumbai,72500000.0,44947,1613,Under Construction,Apartment,5,3,New,-1.0
Juhu, Mumbai,100000000.0,42973,2327,Under Construction,Apartment,6,4,New,0.0
Juhu, Mumbai,72500000.0,48920,1482,Ready to move,Apartment,5,3,old,5.5
Worli, Mumbai,70000000.0,43478,1610,Ready to move,Apartment,5,3,old,11.5
